Repo,File,Function,Line,CCN,Grade,Priority
jeeves-core,jeeves_avionics\observability\otel_adapter.py,on_agent_started,300,6,B,LOW
jeeves-core,jeeves_avionics\observability\otel_adapter.py,cleanup_context,507,6,B,LOW
jeeves-core,jeeves_avionics\tests\unit\test_thresholds.py,test_critic_thresholds_ordering,55,6,B,LOW
jeeves-core,jeeves_avionics\tests\unit\checkpoint\test_postgres_adapter.py,test_list_multiple_checkpoints_ordered,337,6,B,LOW
jeeves-core,jeeves_avionics\tests\unit\checkpoint\test_postgres_adapter.py,test_delete_all_checkpoints_for_envelope,422,6,B,LOW
jeeves-core,jeeves_avionics\tests\unit\distributed\test_redis_bus.py,TestDequeueTask,207,6,B,LOW
jeeves-core,jeeves_avionics\tests\unit\gateway\test_chat.py,TestBuildGrpcRequest,31,6,B,LOW
jeeves-core,jeeves_avionics\tests\unit\gateway\test_chat.py,test_build_grpc_request_full,54,6,B,LOW
jeeves-core,jeeves_avionics\tests\unit\gateway\test_chat.py,TestResponseReadyHandler,95,6,B,LOW
jeeves-core,jeeves_avionics\tests\unit\gateway\test_chat.py,TestClarificationHandler,130,6,B,LOW
jeeves-core,jeeves_avionics\tests\unit\gateway\test_chat.py,TestConfirmationHandler,165,6,B,LOW
jeeves-core,jeeves_avionics\tests\unit\gateway\test_chat.py,TestEventHandlersRegistry,209,6,B,LOW
jeeves-core,jeeves_avionics\tests\unit\gateway\test_main.py,test_default_config,13,6,B,LOW
jeeves-core,jeeves_avionics\tests\unit\gateway\test_main.py,test_app_has_routers_included,80,6,B,LOW
jeeves-core,jeeves_avionics\tests\unit\gateway\test_sse.py,TestMergeSSEStreams,328,6,B,LOW
jeeves-core,jeeves_avionics\tests\unit\gateway\test_sse.py,test_merge_yields_all_data,332,6,B,LOW
jeeves-core,jeeves_avionics\tests\unit\gateway\test_sse.py,test_merge_sends_keepalive_on_timeout,349,6,B,LOW
jeeves-core,jeeves_avionics\tests\unit\llm\test_cost_calculator.py,test_cost_metrics_properties,145,6,B,LOW
